file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,67,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,30
style.css,68,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,7
style.css,69,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,0
style.css,70,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,0
style.css,71,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,5
style.css,72,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,12
style.css,73,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,29
style.css,74,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,18
style.css,75,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,0
style.css,76,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,0
style.css,77,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,6
style.css,78,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,18
style.css,79,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,0
style.css,80,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,0
style.css,81,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,9
style.css,82,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,12
style.css,83,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,58
style.css,84,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,7
style.css,85,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,0
style.css,86,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,0
style.css,87,css,d3d07b65,nayana1729,2026-04-10,21:29:28,-07:00,2026-04-10T21:29:28-07:00,0,17
